Topic 1,Topic 2,Topic 3,Topic 4
2734/0.0012399636604709407,2442/0.0013656298967898944,1645/0.0010656062584874888,
21/0.0012399636604709407,711/0.0013656298967898944,932/0.0010656062584874888,
1900/0.0012399636604709407,2646/0.001356875858989959,2193/0.00105910865935037,
2713/0.0012399636604709407,599/0.001356875858989959,2597/0.00105910865935037,
2053/0.0012399636604709407,645/0.001356875858989959,1032/0.0010526110602132512,
835/0.0012276867925454858,766/0.001356875858989959,2810/0.0010526110602132512,
742/0.0012276867925454858,1391/0.0013481218211900238,2596/0.0010526110602132512,
2256/0.0012276867925454858,1175/0.0013481218211900238,2856/0.0010526110602132512,
2350/0.0012276867925454858,2073/0.0013481218211900238,1796/0.0010461134610761323,
1498/0.0012276867925454858,1092/0.0013393677833900886,2508/0.0010461134610761323,
2389/0.001215409924620031,1420/0.0013393677833900886,595/0.0010461134610761323,
