i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
144,sengokubasara,0.15486194477791115,0.056422569027611044,0.2845138055222089,0.025210084033613446,0.24489795918367346,0.21368547418967587,0.02040816326530612
145,metalgearsolidvthephantompain,0.14921780986762936,0.010830324909747292,0.2045728038507822,0.13598074608904934,0.07821901323706378,0.34296028880866425,0.07821901323706378
146,borderlands,0.18674698795180722,0.01927710843373494,0.25060240963855424,0.2289156626506024,0.1891566265060241,0.09156626506024096,0.033734939759036145
147,halflife,0.1678743961352657,0.010869565217391304,0.19927536231884058,0.27294685990338163,0.10024154589371981,0.2246376811594203,0.024154589371980676
148,starcontrol,0.14652014652014653,0.020757020757020756,0.20146520146520147,0.21245421245421245,0.1452991452991453,0.2454212454212454,0.028083028083028084
149,cyberpunk2077,0.21123321123321123,0.017094017094017096,0.18437118437118438,0.17338217338217338,0.10134310134310134,0.2673992673992674,0.045177045177045176
150,finalfantasyxi,0.0690505548705302,0.059186189889025895,0.3279901356350185,0.04438964241676942,0.33292231812577067,0.15413070283600494,0.012330456226880395
151,prototype,0.12222222222222222,0.012345679012345678,0.21358024691358024,0.16913580246913582,0.14320987654320988,0.29876543209876544,0.040740740740740744
152,dynastywarriors,0.1161928306551298,0.038318912237330034,0.3288009888751545,0.038318912237330034,0.24721878862793573,0.2200247218788628,0.011124845488257108
153,grandtheftautov,0.27757125154894674,0.008674101610904586,0.13506815365551425,0.1771995043370508,0.06939281288723669,0.14745972738537794,0.18463444857496902
154,theelderscrollsonline,0.12049689440993788,0.03850931677018633,0.26956521739130435,0.0670807453416149,0.2,0.28695652173913044,0.017391304347826087
155,megamanstarforce,0.13930348258706468,0.046019900497512436,0.2885572139303483,0.02736318407960199,0.23880597014925373,0.2512437810945274,0.008706467661691543
156,shantae,0.13625,0.0575,0.2775,0.025,0.235,0.26125,0.0075
157,supermariogalaxy,0.06,0.0575,0.28875,0.05375,0.3675,0.1725,0.0
158,fireemblempathofradiance,0.056320400500625784,0.17146433041301626,0.39424280350438046,0.01376720901126408,0.1639549436795995,0.18773466833541927,0.012515644555694618
159,darkestdungeon,0.14912280701754385,0.023809523809523808,0.2619047619047619,0.10150375939849623,0.19548872180451127,0.2543859649122807,0.013784461152882205
160,darksoulsi,0.07169811320754717,0.03522012578616352,0.3584905660377358,0.04905660377358491,0.24276729559748428,0.23144654088050315,0.011320754716981131
161,monsterhunter,0.1111111111111111,0.06186868686868687,0.3573232323232323,0.07196969696969698,0.30934343434343436,0.08207070707070707,0.006313131313131313
162,xenogears,0.09848484848484848,0.056818181818181816,0.2866161616161616,0.07196969696969698,0.22727272727272727,0.2361111111111111,0.022727272727272728
163,thesecretworld,0.30279898218829515,0.03307888040712468,0.18447837150127228,0.11577608142493638,0.11577608142493638,0.21119592875318066,0.03689567430025445
164,fireemblemtheblazingblade,0.06306306306306306,0.13127413127413126,0.398970398970399,0.01287001287001287,0.14671814671814673,0.23680823680823682,0.010296010296010296
