Topic 1,Topic 2,Topic 3,Topic 4
488/0.0017213820238534366,1047/0.0009391920427111764,,
1723/0.0017213820238534366,974/0.0009391920427111764,,
1158/0.0017213820238534366,2851/0.0009391920427111764,,
2091/0.0017213820238534366,302/0.0009391920427111764,,
2401/0.0017038169011610546,19/0.0009391920427111764,,
2245/0.0017038169011610546,33/0.0009328887404111013,,
2264/0.0017038169011610546,1564/0.0009328887404111013,,
520/0.0017038169011610546,2762/0.0009328887404111013,,
18/0.0017038169011610546,1516/0.0009265854381110264,,
1640/0.0017038169011610546,410/0.0009265854381110264,,
497/0.0017038169011610546,719/0.0009265854381110264,,
1583/0.0016862517784686727,2237/0.0009202821358109514,,
2271/0.0016686866557762906,608/0.0009202821358109514,,
2575/0.0016686866557762906,3004/0.0009202821358109514,,
694/0.0016686866557762906,2339/0.0009202821358109514,,
2095/0.0016511215330839086,921/0.0009202821358109514,,
1264/0.0016511215330839086,1235/0.0009202821358109514,,
2287/0.0016511215330839086,339/0.0009139788335108764,,
199/0.0016335564103915265,27/0.0009139788335108764,,
2903/0.0016335564103915265,1920/0.0009076755312108013,,
76/0.0016335564103915265,490/0.0009076755312108013,,
1072/0.0016159912876991447,1760/0.0009076755312108013,,
1408/0.0016159912876991447,127/0.0009013722289107263,,
849/0.0016159912876991447,1079/0.0009013722289107263,,
151/0.0016159912876991447,2872/0.0009013722289107263,,
1736/0.0016159912876991447,1630/0.0009013722289107263,,
1040/0.0016159912876991447,298/0.0009013722289107263,,
3023/0.0015984261650067626,1469/0.0009013722289107263,,
1972/0.0015808610423143805,172/0.0009013722289107263,,
2110/0.0015808610423143805,1199/0.0009013722289107263,,
1218/0.0015808610423143805,627/0.0009013722289107263,,
1087/0.0015632959196219985,390/0.0008950689266106513,,
2104/0.0015632959196219985,1138/0.0008950689266106513,,
257/0.0015632959196219985,2829/0.0008950689266106513,,
1394/0.0015632959196219985,558/0.0008950689266106513,,
1167/0.0015632959196219985,626/0.0008887656243105763,,
2128/0.0015281656742372346,1/0.0008887656243105763,,
815/0.0015106005515448525,542/0.0008887656243105763,,
1279/0.0015106005515448525,2787/0.0008887656243105763,,
2029/0.0015106005515448525,2796/0.0008824623220105013,,
1709/0.0014930354288524704,1541/0.0008824623220105013,,
2054/0.0014930354288524704,1673/0.0008824623220105013,,
2683/0.0014930354288524704,102/0.0008824623220105013,,
1664/0.0014754703061600886,2394/0.0008824623220105013,,
1976/0.0014754703061600886,1763/0.0008761590197104263,,
1445/0.0014754703061600886,740/0.0008761590197104263,,
343/0.0014754703061600886,2061/0.0008761590197104263,,
2905/0.0014754703061600886,69/0.0008761590197104263,,
2017/0.0014754703061600886,1989/0.0008761590197104263,,
2156/0.0014579051834677065,2811/0.0008761590197104263,,
56/0.0014579051834677065,6/0.0008761590197104263,,
1335/0.0014579051834677065,887/0.0008698557174103513,,
584/0.0014579051834677065,368/0.0008698557174103513,,
1999/0.0014579051834677065,59/0.0008698557174103513,,
2173/0.0014403400607753245,1979/0.0008698557174103513,,
2640/0.0014403400607753245,92/0.0008635524151102763,,
2515/0.0014403400607753245,2408/0.0008635524151102763,,
840/0.0014052098153905606,2747/0.0008635524151102763,,
1191/0.0014052098153905606,631/0.0008635524151102763,,
1615/0.0014052098153905606,480/0.0008572491128102013,,
1771/0.0014052098153905606,1601/0.0008572491128102013,,
1249/0.0014052098153905606,726/0.0008572491128102013,,
799/0.0013876446926981785,1026/0.0008572491128102013,,
2893/0.0013876446926981785,731/0.0008572491128102013,,
2997/0.0013876446926981785,1797/0.0008572491128102013,,
782/0.0013876446926981785,3019/0.0008572491128102013,,
744/0.0013700795700057964,2737/0.0008572491128102013,,
1964/0.0013700795700057964,1934/0.0008572491128102013,,
1082/0.0013700795700057964,915/0.0008509458105101262,,
985/0.0013525144473134146,308/0.0008509458105101262,,
2076/0.0013349493246210325,1202/0.0008509458105101262,,
130/0.0013349493246210325,1619/0.0008509458105101262,,
460/0.0013349493246210325,426/0.0008509458105101262,,
2160/0.0013349493246210325,1915/0.0008446425082100512,,
2093/0.0013173842019286505,795/0.0008446425082100512,,
2432/0.0013173842019286505,1512/0.0008446425082100512,,
1386/0.0013173842019286505,331/0.0008446425082100512,,
2741/0.0013173842019286505,1986/0.0008446425082100512,,
2892/0.0012998190792362684,1521/0.0008446425082100512,,
1745/0.0012998190792362684,2219/0.0008383392059099763,,
2346/0.0012998190792362684,1442/0.0008383392059099763,,
2561/0.0012998190792362684,2690/0.0008383392059099763,,
2695/0.0012998190792362684,517/0.0008383392059099763,,
1829/0.0012998190792362684,1817/0.0008383392059099763,,
421/0.0012998190792362684,285/0.0008383392059099763,,
2724/0.0012998190792362684,290/0.0008320359036099013,,
2455/0.0012822539565438865,244/0.0008320359036099013,,
2755/0.0012822539565438865,1027/0.0008320359036099013,,
1789/0.0012822539565438865,187/0.0008320359036099013,,
856/0.0012822539565438865,375/0.0008320359036099013,,
521/0.0012822539565438865,2342/0.0008320359036099013,,
1832/0.0012471237111591224,1517/0.0008320359036099013,,
2368/0.0012471237111591224,26/0.0008257326013098262,,
