i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
289,dungeonfighteronline,0.057649667405764965,0.024390243902439025,0.07317073170731707,0.050997782705099776,0.05321507760532151,0.2549889135254989,0.0598669623059867,0.0975609756097561,0.037694013303769404,0.06208425720620843,0.07095343680709534,0.0,0.08647450110864745,0.0022172949002217295,0.015521064301552107,0.0066518847006651885,0.0066518847006651885,0.028824833702882482,0.011086474501108648
290,inazumaeleven,0.0851063829787234,0.1276595744680851,0.031914893617021274,0.04042553191489362,0.014893617021276596,0.21063829787234042,0.10425531914893617,0.06382978723404255,0.029787234042553193,0.023404255319148935,0.08936170212765958,0.006382978723404255,0.10425531914893617,0.019148936170212766,0.0,0.00425531914893617,0.019148936170212766,0.010638297872340425,0.014893617021276596
291,splintercell,0.016877637130801686,0.02109704641350211,0.02531645569620253,0.1371308016877637,0.029535864978902954,0.2911392405063291,0.07805907172995781,0.046413502109704644,0.008438818565400843,0.010548523206751054,0.1308016877637131,0.004219409282700422,0.046413502109704644,0.06329113924050633,0.0,0.010548523206751054,0.014767932489451477,0.06118143459915612,0.004219409282700422
292,thesims2,0.0288659793814433,0.18556701030927836,0.12164948453608247,0.09072164948453608,0.032989690721649485,0.14432989690721648,0.04329896907216495,0.024742268041237112,0.03711340206185567,0.024742268041237112,0.07835051546391752,0.006185567010309278,0.05154639175257732,0.03505154639175258,0.012371134020618556,0.012371134020618556,0.04536082474226804,0.020618556701030927,0.004123711340206186
293,metroid,0.041304347826086954,0.021739130434782608,0.04565217391304348,0.034782608695652174,0.06521739130434782,0.2673913043478261,0.05,0.05217391304347826,0.02391304347826087,0.08478260869565217,0.06956521739130435,0.02391304347826087,0.09130434782608696,0.006521739130434782,0.01956521739130435,0.02391304347826087,0.02391304347826087,0.04565217391304348,0.008695652173913044
294,pokemonblack2andwhite2,0.07709251101321586,0.0881057268722467,0.0881057268722467,0.05947136563876652,0.028634361233480177,0.2511013215859031,0.05286343612334802,0.039647577092511016,0.028634361233480177,0.03303964757709251,0.08590308370044053,0.0,0.0947136563876652,0.011013215859030838,0.00881057268722467,0.0022026431718061676,0.039647577092511016,0.0022026431718061676,0.00881057268722467
295,ninjagaiden,0.06,0.028888888888888888,0.03777777777777778,0.051111111111111114,0.044444444444444446,0.23555555555555555,0.05555555555555555,0.09111111111111111,0.03333333333333333,0.05333333333333334,0.1,0.0,0.1,0.0044444444444444444,0.008888888888888889,0.013333333333333334,0.024444444444444446,0.03777777777777778,0.02
296,terraria,0.030878859857482184,0.023752969121140142,0.13539192399049882,0.019002375296912115,0.047505938242280284,0.1995249406175772,0.0166270783847981,0.0855106888361045,0.0665083135391924,0.09263657957244656,0.047505938242280284,0.011876484560570071,0.057007125890736345,0.0023752969121140144,0.04275534441805225,0.021377672209026127,0.047505938242280284,0.030878859857482184,0.021377672209026127
297,godofwarps4,0.02074688796680498,0.1016597510373444,0.06431535269709543,0.11825726141078838,0.043568464730290454,0.24688796680497926,0.08091286307053942,0.07053941908713693,0.06224066390041494,0.024896265560165973,0.05394190871369295,0.002074688796680498,0.06016597510373444,0.01037344398340249,0.004149377593360996,0.006224066390041493,0.012448132780082987,0.012448132780082987,0.004149377593360996
298,commandandconquerredalert3,0.035634743875278395,0.031180400890868598,0.035634743875278395,0.08463251670378619,0.060133630289532294,0.23608017817371937,0.06904231625835189,0.07126948775055679,0.0200445434298441,0.04899777282850779,0.0801781737193764,0.011135857461024499,0.062360801781737196,0.0400890868596882,0.008908685968819599,0.017817371937639197,0.008908685968819599,0.07126948775055679,0.0066815144766146995
