Topic 1,Topic 2,Topic 3,Topic 4
1599/0.0012363203443381107,456/0.0009442598372413197,,
1023/0.0012363203443381107,0/0.0009442598372413197,,
2066/0.0012363203443381107,562/0.0009442598372413197,,
951/0.0012363203443381107,155/0.0009370517468806989,,
1741/0.0012210571302104798,288/0.0009370517468806989,,
1156/0.0012210571302104798,822/0.0009370517468806989,,
1825/0.0012210571302104798,139/0.0009370517468806989,,
891/0.0012210571302104798,778/0.0009370517468806989,,
2424/0.0012210571302104798,849/0.0009370517468806989,,
727/0.0012210571302104798,623/0.0009370517468806989,,
1042/0.0012210571302104798,165/0.0009298436565200782,,
1120/0.0012057939160828488,1689/0.0009298436565200782,,
2119/0.0012057939160828488,1817/0.0009298436565200782,,
1595/0.0012057939160828488,663/0.0009298436565200782,,
2249/0.0012057939160828488,1557/0.0009298436565200782,,
